parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,2.0410674314815602,1.2962560045227147,2.0364549359463826,3.027835435531837,0,Float64,0.18165124856845216,2.4068100697303767,1.7002284214762304,2.2313746194476822,1.8526262688909267,2.1595516167494377,1.9180849345539424,0.001803425840152767,2424.108301914686,1.00165783090172,0.043109221490151374
B,1908,2.050056858070151,1.3663289728519998,2.0448609792234285,2.8105768316330195,0,Float64,0.16760495057409233,2.3853599929777918,1.7350507496983885,2.2250312491763387,1.8799796702590081,2.159471366461242,1.933333174510321,0.0017908600115665232,1988.0404063167753,1.0022548307344308,0.03535439160848872
B,1913,2.071100084716198,1.4878455197439904,2.067819517247535,2.8170447937585634,0,Float64,0.15885582874676749,2.386116686390082,1.7706459011477327,2.2345850207806124,1.9068148591228895,2.175469885351816,1.9632292874072999,0.0017567976899869218,1794.0971326016197,1.0022493489222901,0.03190539407957965
B,1918,2.1092984497403564,1.5069812479568423,2.1058941349011078,2.8379492531683153,0,Float64,0.15426503340472528,2.420670149692337,1.8208727006379672,2.2669159749571723,1.949296522970155,2.212240657765194,2.0021383127470544,0.0016674551044144207,1723.0767080391345,1.0019232435515018,0.030642399678557832
B,1923,2.2116510138288765,1.706785470188182,2.2091356800800757,2.8476086551825093,0,Float64,0.1472656684042413,2.510604141488401,1.9347284276713383,2.3635845692944337,2.0592775528800282,2.3081227000946054,2.1106249938349855,0.001483542107525731,1789.2101885616387,1.0027088515868727,0.0318184869257767
B,1928,2.2864472639335025,1.8204154139947064,2.2803127217000374,2.9345304802590584,0,Float64,0.14774275913504958,2.589906787880646,2.0135835309107617,2.439163759023066,2.1364297776836354,2.382839100669071,2.185680113550027,0.0015015323581972397,1669.8116436518067,1.0020426934617113,0.029695158395424227
B,1933,2.356112800536242,1.833830058787723,2.350955446973625,2.9360738680457485,0,Float64,0.14895606274294734,2.6659457207243653,2.0835173901936757,2.5079158352772297,2.2034461025456022,2.4529286327102735,2.2529608338983946,0.0015148282050758486,1645.7317928499997,1.0012802552795532,0.029266933459745827
B,1938,2.4166785471085217,1.8818251656937586,2.4109082661022514,3.159187140611959,0,Float64,0.15349781977166715,2.7352167593168843,2.1295454366363304,2.5732129904565486,2.2606139100104463,2.51317398757695,2.311168805489995,0.0014983468080912387,1707.4571544481578,1.0016001905856184,0.030364628757679892
B,1943,2.479206506373718,1.9403039373358053,2.4732315270111256,3.144159798555685,0,Float64,0.15849681390439405,2.8117044657474186,2.1890566319807365,2.6438164953350656,2.3192510092912992,2.578343419708589,2.3703300376189778,0.001626347376192764,1551.7203799434726,1.0010724088114638,0.027595077949664665
B,1948,2.461858836911244,1.8879856559051493,2.4564631335184983,3.0763775326386504,0,Float64,0.15479968189849164,2.780769091616557,2.1723953466262476,2.621113011763086,2.3030524229458904,2.5600241471060077,2.3569296926636913,0.0015659638054615556,1479.8564009942181,1.0007180179756534,0.026317082167364003
B,1953,2.512086082885593,1.958632210163947,2.508968442972198,3.1725565448420237,0,Float64,0.15669646487556627,2.8347236710361865,2.217368568810295,2.672661784662693,2.35101009419756,2.614005763376313,2.403661645018711,0.001528321204111352,1482.8424052134826,1.0020082993057988,0.026370183886110284
B,1958,2.523271671676934,1.8910955215509306,2.519514908387027,3.2522303362024236,0,Float64,0.16198457553847076,2.8521813036598376,2.214463185103862,2.6869186394008437,2.356435537729186,2.6293021253133673,2.4137809905152894,0.0015530026201452918,1456.335289454473,1.0015089916578004,0.025898793592443264
B,1963,2.5780729754919722,1.8533977044472474,2.5753214810712484,3.310516562262973,0,Float64,0.18046665036158113,2.9418212311689036,2.225961626532476,2.7616815479686045,2.3954596531073604,2.6977184380061985,2.458423424860751,0.0017202014017336715,1365.9766205272874,1.0022821532419204,0.024291896792799205
B,1968,2.605996081178181,1.8061459505418034,2.6053985470529417,3.4445452082963364,0,Float64,0.19515929036814125,3.001440489373942,2.2312746714061102,2.8025583004803614,2.4064343424954924,2.73440022201516,2.4748037745906966,0.0018283815654357323,1325.8544488452706,1.0020243479344626,0.023578382638196546
B,1973,2.6636266089278267,1.9200701363254344,2.659889211675371,3.451166679631748,0,Float64,0.20057312738520228,3.0662667483185184,2.2807509906683014,2.8699305124375347,2.459849413052488,2.7949856706914904,2.5286911493964177,0.0018217975669052124,1301.2454464843338,1.002015545477884,0.023140747515792426
B,1978,2.7428374435694542,1.9493382436101936,2.7353522076143175,3.533377322928635,0,Float64,0.19580947503914253,3.1367099157642166,2.3737575451654402,2.947134066447008,2.545129559654461,2.8728282014816617,2.6096610486025784,0.0017005348472217705,1387.381412753513,1.0019815141772481,0.02467254972332306
B,1983,2.8594129183334345,2.124549630354595,2.8502844868582864,3.792722215962507,0,Float64,0.19917921919668957,3.2562889820543033,2.4944387649973336,3.070107670969979,2.654523607227502,2.9917174498089603,2.7211032048408232,0.0016476678617999981,1396.9186697440778,1.0012457680543672,0.024842155893018535
B,1988,2.9921096674301335,2.2883728482583554,2.9826539242875167,3.900273976268269,0,Float64,0.2164005402661952,3.4379639726266595,2.5969676128670627,3.2197608945938327,2.7681771597918434,3.1343435944050966,2.8418449861542054,0.0017179786956593546,1290.479785438803,1.0011617426461998,0.022949295976216776
B,1993,3.0906203968568913,2.328443857367575,3.080678456801177,4.166480531723744,0,Float64,0.23115790081004928,3.5727881731254643,2.6783021816936916,3.328478564048485,2.8541959613840877,3.238365393858369,2.928691276486097,0.0018167010983109917,1288.860736443919,1.0012971487734583,0.022920503557301856
B,1998,3.175901483449833,2.441774276170132,3.1635775328629308,4.353517088753406,0,Float64,0.2456702243935316,3.696028541580372,2.7362440162426522,3.4334224434194334,2.92398460425665,3.3321399273154877,3.0028216643264183,0.001926715817328257,1295.7416235699052,1.0012623951580972,0.023042870073240348
B,2003,3.2430011593109147,2.460207816680412,3.2297735127291824,4.41012211808649,0,Float64,0.26012049350339156,3.790430855784844,2.7750654740373593,3.51481700002469,2.9774833099397,3.411516778924156,3.059860376726234,0.0019023031751488235,1372.3413814805435,1.0006313738033277,0.024405084759462688
B,2008,3.275349693736916,2.361737320474873,3.259952505935371,4.358639327388624,0,Float64,0.26915450889625414,3.8502186685001485,2.7919857312235736,3.550231191964966,2.997845232937113,3.4484531080258476,3.0862448083837632,0.0019724991949017314,1414.0444583304331,1.0009837669237849,0.02514671300079279
B,2013,3.3035421672405993,2.4038605442556746,3.288449859334794,4.683484302577115,0,Float64,0.28564820381366646,3.906936752559545,2.7899833944008416,3.598069567094477,3.0119097509485204,3.487280219825177,3.1023235276413255,0.0020075194123664627,1484.5519726843722,1.0013662649825548,0.026400586043760062
B,2018,3.3403762425949353,2.364260658851313,3.3174548177968863,4.81012580835219,0,Float64,0.3142543357023666,4.004296938200471,2.7797275348571704,3.6705630857646323,3.0152548894969318,3.540726630150001,3.117333521985304,0.002119366563553771,1619.8032496580292,1.001176594801702,0.028805832233164182
b,1903,1.2908239214530803,0.9647870489697182,1.2871482435743284,1.7649851687067621,0,Float64,0.08389488295697503,1.4632140664859181,1.1361130802011987,1.3769183593901562,1.204181722748534,1.3447703053499918,1.233214950174711,0.0012686840697409918,2617.272515152392,1.001796676240588,0.046544364567652444
b,1908,1.3059633600279312,1.0217744767941945,1.302405990628806,1.7002853013703092,0,Float64,0.07847341039032665,1.467127520822901,1.1608467854651399,1.38693376122069,1.2257272512025692,1.35826192196892,1.2511829911716958,0.0012795887649810485,2061.140156934442,1.0022431251849846,0.03665436378290138
b,1913,1.3346253298243131,1.0682599174958156,1.3321373216883332,1.7020103237640893,0,Float64,0.07297004803827893,1.4832557857809228,1.1956651096886461,1.4093483039109904,1.2604163109748667,1.3824934708468908,1.2857651991118022,0.0011640553892551155,2099.5723300205427,1.0015890371265663,0.03733782378368102
b,1918,1.3329745822511023,1.0925758370178065,1.3312607997670418,1.6224618698160098,0,Float64,0.07112114090686374,1.4766482039171218,1.2005337486557888,1.4076345462156516,1.260111905421135,1.3798645831214211,1.2830614953572,0.0011383809066327305,1989.832742800353,1.00175793019802,0.035386265691999916
b,1923,1.3517171985889065,1.1233390243231496,1.3496863118197295,1.649409896797979,0,Float64,0.06629411855348975,1.4843146871925101,1.2259137184880577,1.4205353437076818,1.2844496565456116,1.394911897607302,1.3065337742817675,0.0010371374540388638,1939.3392776113278,1.0018448073287458,0.03448831324782915
b,1928,1.3505835163063384,1.1082800418770358,1.3495353633266813,1.610764059635731,0,Float64,0.06525033184403196,1.4812456441318225,1.226034722323933,1.416399687986333,1.2843877068847696,1.3945245398174495,1.3063841934080096,0.0010819652774065958,1836.4778032321835,1.0019220252707448,0.032659072335485574
b,1933,1.3736718142732134,1.117733552068937,1.3722323830643306,1.6469846039734979,0,Float64,0.06777641160855509,1.512517287875534,1.2447071704067592,1.4427388037185456,1.304053460403215,1.4179489460303902,1.3278962610163068,0.0011501274447399269,1747.2530923510067,1.001963817832348,0.031072341321556337
b,1938,1.4311311507218047,1.1592112132103387,1.4283382936894906,1.7338511150173816,0,Float64,0.0716754350921825,1.5769400785015488,1.296891307370552,1.5053803533590087,1.358311339717011,1.4783505231574636,1.3829775872068961,0.00116570829859225,1740.3439687365712,1.0016665513270904,0.030949472660959664
b,1943,1.5178002269535573,1.2643222270832757,1.515467478977679,1.9080756442480695,0,Float64,0.07811557892759842,1.6765523149313708,1.372331657122449,1.5971925202514747,1.436890979654463,1.5669451922233206,1.4654044291066892,0.0012905122545886119,1594.352863002419,1.0014482828548752,0.028353234321395922
b,1948,1.4947208850706735,1.2308098943163588,1.493424938380023,1.7817248661791696,0,Float64,0.07584783815428146,1.646615980805747,1.3485481829609236,1.5724532345199935,1.416666395583652,1.5451903526497706,1.4430885154850341,0.001230324051732944,1651.7003399316657,1.000737556520983,0.02937307534206796
b,1953,1.5635038140075777,1.3000096530849317,1.5613304360837765,1.9240692856788224,0,Float64,0.07758161864399879,1.7209823455172923,1.4165802608735152,1.6440109333261383,1.4839322994477278,1.614135256350814,1.511185908148931,0.0011924029402789907,1591.8671104843725,1.0016303432956715,0.028309028847661295
b,1958,1.6397945449441396,1.337174118752816,1.636044757211808,2.062772913238019,0,Float64,0.08656222779750866,1.819112718499341,1.4807444574677213,1.7284305529837647,1.5514913436862021,1.6945481258772381,1.5814720222600562,0.001272313516233523,1531.8923617777327,1.001548965634734,0.027242465640164103
b,1963,1.816643341978829,1.463294841328593,1.8108993094822732,2.422728980368154,0,Float64,0.1104180066462738,2.0530746564660602,1.6182196220713727,1.929132051335741,1.704766178304414,1.8838842290298379,1.7411323215841197,0.0015154517654437823,1373.801222017563,1.002162370544232,0.024431045888757517
b,1968,1.9102602545073102,1.5317191196212299,1.9022048615183442,2.7149101690072914,0,Float64,0.12562816004345484,2.1797250238312484,1.6832948368353233,2.0359678317572336,1.7846641979442115,1.9860356967048047,1.8255468104093082,0.0015697314800260272,1311.0846359975783,1.002208514212783,0.02331572311390205
b,1973,1.9362725606754707,1.5514180606489714,1.9286558784384014,2.5873598758902947,0,Float64,0.1272657744294431,2.206792782247249,1.710846404923796,2.0639741164373193,1.8075684667641532,2.0148474691261615,1.847807582417657,0.0015237886936014257,1324.152785800606,1.0019233217754746,0.023548121049208913
