New Zealand, Life tables (period 1x10), Total	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.02941  0.02869  0.14  100000    2869   97534  6887771  68.88
1948-1949        1      0.00440  0.00439  0.50   97131     426   96918  6790237  69.91
1948-1949        2      0.00218  0.00217  0.50   96705     210   96600  6693319  69.21
1948-1949        3      0.00157  0.00157  0.50   96495     151   96419  6596719  68.36
1948-1949        4      0.00129  0.00129  0.50   96343     124   96281  6500300  67.47
1948-1949        5      0.00130  0.00130  0.50   96219     125   96157  6404019  66.56
1948-1949        6      0.00082  0.00082  0.50   96095      79   96055  6307862  65.64
1948-1949        7      0.00067  0.00067  0.50   96016      64   95984  6211806  64.70
1948-1949        8      0.00072  0.00072  0.50   95951      69   95917  6115823  63.74
1948-1949        9      0.00050  0.00050  0.50   95882      48   95858  6019906  62.78
1948-1949       10      0.00081  0.00081  0.50   95834      78   95795  5924048  61.82
1948-1949       11      0.00084  0.00083  0.50   95756      80   95716  5828254  60.87
1948-1949       12      0.00087  0.00087  0.50   95676      83   95635  5732538  59.92
1948-1949       13      0.00099  0.00099  0.50   95593      94   95546  5636903  58.97
1948-1949       14      0.00094  0.00094  0.50   95499      90   95454  5541357  58.03
1948-1949       15      0.00092  0.00092  0.50   95409      88   95365  5445904  57.08
1948-1949       16      0.00140  0.00139  0.50   95321     133   95254  5350539  56.13
1948-1949       17      0.00147  0.00147  0.50   95188     140   95118  5255284  55.21
1948-1949       18      0.00163  0.00163  0.50   95048     155   94970  5160167  54.29
1948-1949       19      0.00176  0.00175  0.50   94893     166   94809  5065196  53.38
1948-1949       20      0.00161  0.00161  0.50   94726     152   94650  4970387  52.47
1948-1949       21      0.00176  0.00175  0.50   94574     166   94491  4875737  51.55
1948-1949       22      0.00195  0.00195  0.50   94408     184   94316  4781246  50.64
1948-1949       23      0.00147  0.00147  0.50   94224     138   94155  4686930  49.74
1948-1949       24      0.00193  0.00193  0.50   94086     182   93995  4592775  48.81
1948-1949       25      0.00175  0.00175  0.50   93904     165   93822  4498779  47.91
1948-1949       26      0.00174  0.00174  0.50   93740     163   93658  4404957  46.99
1948-1949       27      0.00158  0.00158  0.50   93576     148   93502  4311299  46.07
1948-1949       28      0.00177  0.00177  0.50   93429     166   93346  4217797  45.14
1948-1949       29      0.00153  0.00152  0.50   93263     142   93192  4124451  44.22
1948-1949       30      0.00165  0.00164  0.50   93121     153   93044  4031259  43.29
1948-1949       31      0.00165  0.00165  0.50   92968     154   92891  3938215  42.36
1948-1949       32      0.00200  0.00200  0.50   92814     185   92721  3845324  41.43
1948-1949       33      0.00187  0.00187  0.50   92628     173   92542  3752603  40.51
1948-1949       34      0.00188  0.00188  0.50   92455     174   92368  3660061  39.59
1948-1949       35      0.00230  0.00230  0.50   92281     212   92176  3567693  38.66
1948-1949       36      0.00250  0.00250  0.50   92070     230   91955  3475518  37.75
1948-1949       37      0.00193  0.00193  0.50   91840     177   91751  3383563  36.84
1948-1949       38      0.00253  0.00253  0.50   91663     232   91547  3291812  35.91
1948-1949       39      0.00276  0.00276  0.50   91431     252   91305  3200265  35.00
1948-1949       40      0.00268  0.00268  0.50   91179     244   91057  3108960  34.10
1948-1949       41      0.00268  0.00268  0.50   90934     244   90812  3017903  33.19
1948-1949       42      0.00368  0.00367  0.50   90691     333   90524  2927091  32.28
1948-1949       43      0.00354  0.00353  0.50   90358     319   90198  2836567  31.39
1948-1949       44      0.00312  0.00311  0.50   90039     280   89899  2746368  30.50
1948-1949       45      0.00472  0.00471  0.50   89759     423   89548  2656469  29.60
1948-1949       46      0.00426  0.00425  0.50   89336     380   89146  2566922  28.73
1948-1949       47      0.00461  0.00460  0.50   88956     409   88752  2477775  27.85
1948-1949       48      0.00644  0.00641  0.50   88547     568   88263  2389024  26.98
1948-1949       49      0.00624  0.00622  0.50   87979     547   87706  2300760  26.15
1948-1949       50      0.00759  0.00756  0.50   87432     661   87102  2213055  25.31
1948-1949       51      0.00603  0.00601  0.50   86771     522   86510  2125953  24.50
1948-1949       52      0.00885  0.00881  0.50   86249     760   85869  2039443  23.65
1948-1949       53      0.00799  0.00796  0.50   85490     680   85150  1953573  22.85
1948-1949       54      0.01080  0.01075  0.50   84809     911   84354  1868424  22.03
1948-1949       55      0.00879  0.00875  0.50   83898     735   83531  1784070  21.26
1948-1949       56      0.01229  0.01222  0.50   83164    1016   82655  1700539  20.45
1948-1949       57      0.01197  0.01190  0.50   82147     977   81659  1617884  19.69
1948-1949       58      0.01459  0.01448  0.50   81170    1176   80582  1536225  18.93
1948-1949       59      0.01473  0.01462  0.50   79994    1169   79410  1455643  18.20
1948-1949       60      0.01768  0.01753  0.50   78825    1382   78134  1376233  17.46
1948-1949       61      0.01591  0.01578  0.50   77443    1222   76832  1298099  16.76
1948-1949       62      0.01897  0.01879  0.50   76221    1432   75505  1221267  16.02
1948-1949       63      0.02247  0.02222  0.50   74789    1662   73958  1145762  15.32
1948-1949       64      0.02527  0.02495  0.50   73127    1825   72215  1071804  14.66
1948-1949       65      0.03054  0.03008  0.50   71302    2145   70230   999589  14.02
1948-1949       66      0.02689  0.02653  0.50   69158    1835   68241   929359  13.44
1948-1949       67      0.02878  0.02837  0.50   67323    1910   66368   861119  12.79
1948-1949       68      0.03350  0.03295  0.50   65413    2155   64335   794751  12.15
1948-1949       69      0.03660  0.03595  0.50   63258    2274   62121   730415  11.55
1948-1949       70      0.04149  0.04065  0.50   60984    2479   59744   668295  10.96
1948-1949       71      0.03845  0.03772  0.50   58505    2207   57402   608550  10.40
1948-1949       72      0.05039  0.04915  0.50   56298    2767   54915   551149   9.79
1948-1949       73      0.05898  0.05729  0.50   53531    3067   51997   496234   9.27
1948-1949       74      0.06590  0.06380  0.50   50464    3220   48854   444237   8.80
1948-1949       75      0.06123  0.05941  0.50   47244    2807   45841   395383   8.37
1948-1949       76      0.07732  0.07444  0.50   44437    3308   42783   349542   7.87
1948-1949       77      0.08086  0.07772  0.50   41129    3197   39531   306758   7.46
1948-1949       78      0.09768  0.09314  0.50   37933    3533   36166   267227   7.04
1948-1949       79      0.10233  0.09735  0.50   34400    3349   32725   231061   6.72
1948-1949       80      0.09907  0.09440  0.50   31051    2931   29585   198336   6.39
1948-1949       81      0.10190  0.09696  0.50   28120    2727   26757   168750   6.00
1948-1949       82      0.12219  0.11515  0.50   25393    2924   23931   141994   5.59
1948-1949       83      0.13470  0.12620  0.50   22469    2836   21051   118062   5.25
1948-1949       84      0.14903  0.13870  0.50   19634    2723   18272    97011   4.94
1948-1949       85      0.15725  0.14579  0.50   16910    2465   15678    78739   4.66
1948-1949       86      0.18963  0.17321  0.50   14445    2502   13194    63061   4.37
1948-1949       87      0.18222  0.16700  0.50   11943    1995   10946    49867   4.18
1948-1949       88      0.21454  0.19375  0.50    9949    1928    8985    38921   3.91
1948-1949       89      0.21790  0.19649  0.50    8021    1576    7233    29936   3.73
1948-1949       90      0.23397  0.20947  0.50    6445    1350    5770    22703   3.52
1948-1949       91      0.25217  0.22394  0.50    5095    1141    4524    16934   3.32
1948-1949       92      0.27124  0.23885  0.50    3954     944    3482    12409   3.14
1948-1949       93      0.29114  0.25415  0.50    3010     765    2627     8927   2.97
1948-1949       94      0.31183  0.26977  0.50    2245     606    1942     6300   2.81
1948-1949       95      0.33324  0.28565  0.50    1639     468    1405     4358   2.66
1948-1949       96      0.35531  0.30171  0.50    1171     353     994     2953   2.52
1948-1949       97      0.37795  0.31788  0.50     818     260     688     1959   2.40
1948-1949       98      0.40108  0.33408  0.50     558     186     465     1271   2.28
1948-1949       99      0.42460  0.35024  0.50     371     130     306      807   2.17
1948-1949      100      0.44841  0.36628  0.50     241      88     197      500   2.07
1948-1949      101      0.47239  0.38213  0.50     153      58     124      303   1.98
1948-1949      102      0.49645  0.39773  0.50      94      38      76      179   1.90
1948-1949      103      0.52048  0.41300  0.50      57      24      45      104   1.82
1948-1949      104      0.54435  0.42789  0.50      33      14      26       59   1.75
1948-1949      105      0.56798  0.44235  0.50      19       8      15       32   1.69
1948-1949      106      0.59126  0.45635  0.50      11       5       8       17   1.63
1948-1949      107      0.61409  0.46983  0.50       6       3       4        9   1.58
1948-1949      108      0.63640  0.48278  0.50       3       1       2        5   1.53
1948-1949      109      0.65810  0.49517  0.50       2       1       1        2   1.50
1948-1949      110+     0.67914  1.00000  1.47       1       1       1        1   1.47
